cluster,label
1,Breast
1,Breast
1,Breast
2,Breast
1,Breast
1,Breast
1,Breast
1,Breast
1,Breast
2,Breast
1,Breast
1,Breast
1,Breast
2,Breast
1,Breast
0,Breast
2,Breast
2,Breast
1,Breast
2,Breast
2,Breast
1,Breast
2,Breast
0,Liver
1,Liver
2,Liver
1,Liver
2,Liver
2,Liver
2,Liver
2,Liver
1,Liver
2,Liver
2,CRC
2,CRC
1,CRC
1,CRC
1,CRC
2,CRC
1,CRC
1,CRC
2,CRC
1,CRC
1,CRC
1,CRC
1,CRC
2,CRC
1,CRC
2,CRC
1,CRC
1,CRC
1,CRC
1,CRC
2,CRC
1,CRC
1,CRC
1,CRC
2,CRC
2,CRC
2,CRC
1,CRC
2,CRC
1,CRC
1,CRC
1,CRC
2,CRC
1,CRC
2,CRC
2,CRC
2,GBM
1,GBM
1,GBM
2,GBM
2,GBM
1,GBM
2,GBM
2,GBM
1,GBM
1,GBM
0,GBM
1,GBM
2,GBM
2,GBM
2,GBM
1,GBM
1,GBM
2,GBM
1,GBM
0,GBM
2,GBM
2,GBM
0,GBM
0,GBM
2,GBM
2,GBM
0,GBM
2,GBM
2,GBM
2,GBM
2,GBM
2,GBM
0,GBM
2,GBM
2,GBM
0,GBM
2,GBM
2,GBM
0,Healthy
2,Healthy
2,Healthy
2,Healthy
2,Healthy
0,Healthy
0,Healthy
1,Healthy
0,Healthy
1,Healthy
0,Healthy
3,Healthy
1,Healthy
3,Healthy
2,Healthy
2,Healthy
2,Healthy
0,Healthy
0,Healthy
3,Healthy
3,Healthy
1,Healthy
1,Healthy
1,Healthy
2,Healthy
1,Healthy
1,Healthy
1,Healthy
1,Healthy
0,Healthy
2,Healthy
2,Healthy
2,Healthy
2,Healthy
2,Healthy
2,Healthy
2,Healthy
2,Healthy
2,Healthy
2,Healthy
2,Healthy
0,Healthy
2,Healthy
2,Healthy
2,Healthy
0,Healthy
0,Healthy
2,Healthy
2,Healthy
2,Healthy
2,Healthy
2,Healthy
2,Healthy
2,Healthy
1,CRC
1,Liver
2,Liver
2,Lung
1,Lung
2,Lung
2,Lung
2,Lung
2,Lung
2,Lung
2,Lung
2,Lung
2,Lung
1,Lung
2,Lung
2,Lung
0,Lung
1,Lung
2,Lung
1,Lung
1,Lung
1,Lung
1,Lung
2,Lung
2,Lung
1,Lung
1,Lung
1,CRC
1,Lung
1,Lung
3,Lung
1,Lung
1,Lung
1,Lung
2,Lung
1,Lung
1,Lung
3,Lung
2,Lung
2,Lung
2,Lung
2,Lung
2,Lung
1,CRC
1,Pancreatic
1,Pancreatic
1,Pancreatic
1,Pancreatic
1,Pancreatic
1,Pancreatic
1,Pancreatic
1,Pancreatic
2,Pancreatic
1,Pancreatic
1,Pancreatic
1,Pancreatic
2,Pancreatic
1,Pancreatic
2,Pancreatic
2,Pancreatic
1,Pancreatic
2,Pancreatic
1,Pancreatic
2,Pancreatic
1,Pancreatic
2,Pancreatic
2,Pancreatic
2,Pancreatic
1,Pancreatic
2,Pancreatic
1,Pancreatic
1,Pancreatic
2,Pancreatic
1,Pancreatic
1,Pancreatic
2,Pancreatic
2,Pancreatic
4,Breast
2,Breast
2,Breast
4,Breast
2,Breast
2,Breast
4,CRC
4,Lung
4,Lung
4,Lung
4,Breast
2,Breast
4,Breast
4,Breast
4,Breast
4,Breast
4,Breast
4,Breast
4,Breast
2,CRC
4,CRC
4,CRC
4,CRC
4,Lung
4,Lung
4,Lung
4,Lung
2,Lung
4,Lung
4,Lung
4,Lung
2,Lung
4,Lung
4,Lung
4,Lung
2,Lung
4,Lung
4,Lung
2,Lung
4,Lung
